,Feature,R-squared,Non-Null Values,Unique Ages Amount,Note
33,PCB118 (ng/g),0.5799543246072898,6120,74,Not enough data
34,Follicle stimulating hormone (mIU/mL),0.5530621137984284,1779,26,Too few unique ages; Not enough data
35,PCB74 Lipid Adj (ng/g),0.5404833344410724,6129,74,Not enough data
36,Biiliac breadth (cm) (2 years and over),0.5394740494431385,26379,89,
37,PCB146 (ng/g),0.536058173893397,6116,74,Not enough data
38,PCB138 Lipid Adj (ng/g),0.5357082458591476,4223,74,Not enough data
39,Beta-hexachlorocyclohexane (ng/g),0.5250290174143647,6143,74,Not enough data
40,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (fg/g)",0.5250204500852429,4990,74,Not enough data
41,PCB118 Lipid Adj (ng/g),0.512638139229713,6120,74,Not enough data
42,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin Lipid Adj (pg/g)",0.5124222243123042,4990,74,Not enough data
43,PCB156 Lipid Adj (ng/g),0.5104416619175237,6083,74,Not enough data
44,"Baseline 1st Test Spirometry, Forced Expiratory Time, in seconds.",0.494257237295713,20049,74,
45,FEF at 75% of FVC (ml),0.49092449040099695,20654,83,
46,Beta-hexachlorocyclohexane Lipid Adj (ng/g),0.4905398367990592,6143,74,Not enough data
47,Toxoplasmosis IgG Avidity (IU/ml),0.4862278565351652,86,45,Too few unique ages; Not enough data
48,Waist Circumference (cm),0.48280628486033594,111013,90,
49,PCB206 (ng/g),0.4725440229394313,4075,74,Not enough data
50,Buttocks circumference (cm) (2+ years),0.47188196116330205,26316,89,
51,PCB99 (ng/g),0.4703080739853479,6055,74,Not enough data
52,"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",0.4582984651818983,4996,74,Not enough data
53,Head Circumference (cm),0.45497010437664487,6626,7,Too few unique ages; Not enough data
54,60 sec HR (30 sec HR * 2),0.45420606853141454,15183,8,Too few unique ages
55,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (fg/g)",0.4531594865238988,4943,74,Not enough data
56,Systolic blood pressure average,0.4468424361081149,15052,79,
57,Wrist breadth (cm) (2 years and over),0.4440292707334389,26562,89,
58,"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",0.44210970484033807,2032,74,Not enough data
59,MIL: maximum inflation levels (mm Hg),0.4409684796429181,96927,86,
60,Elbow breadth (cm) (2 years and over),0.4405693224985554,26567,89,
61,Weight (kg),0.435970165760456,120107,90,
62,Systolic: Average blood pressure (mm Hg),0.4327309298374651,97236,86,
63,"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",0.429256908367331,4982,74,Not enough data
64,Serum luteinizing hormone: SI (IU/L),0.423890517472421,4908,26,Too few unique ages; Not enough data
65,Systolic: Blood pressure (first reading) mm Hg,0.4208879489813325,91754,86,
66,CD8 counts (cells/mm3),0.4201372127678963,157,29,Too few unique ages; Not enough data
67,Luteinizing hormone (mIU/mL),0.41541217564794686,1777,26,Too few unique ages; Not enough data
68,Sitting height (cm) (2 years and over),0.4127820719621663,27021,89,
69,Arm Circumference (cm),0.4116952337004919,116370,90,
70,"p,p'-DDE (ng/g)",0.41016575476632977,6218,74,Not enough data
71,Sagittal Abdominal Diameter 3rd (cm),0.4091619524796075,1109,73,Not enough data
72,Upper Arm Length (cm),0.4086638467267478,116001,90,
73,Serum homocysteine: SI (umol/L),0.40857244068707577,37144,88,
74,"2,2',4,4',5,5'-hexabromobiphenyl lipid adj (pg/g)",0.4078965049324075,2032,74,Not enough data
75,Sagittal Abdominal Diameter 4th (cm),0.40394140431300074,1109,73,Not enough data
76,PCB183 (ng/g),0.4038412000975803,6120,74,Not enough data
77,Standing height (in) (2 years and over),0.4034886517643873,27935,89,
78,"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",0.40004749820599417,4982,74,Not enough data
79,Systolic: Blood pressure (second reading) mm Hg,0.3990711382966694,91099,86,
80,Dieldrin (ng/g),0.39676437131569897,4111,74,Not enough data
81,Estimated Glomerular Filtration Rate (mL/min/1.73 m2),0.3929493940526696,82687,79,
82,Systolic: Blood pressure (fourth reading if necessary) mm Hg,0.3925480481643038,8466,79,Not enough data
83,"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",0.39232955278794024,4996,74,Not enough data
84,Systolic: Blood pressure (third reading) mm Hg,0.3874897521520234,90395,86,
85,"1,2,3,4,7,8-Hexachlorodibenzofuran (fg/g)",0.3868273092424147,4979,74,Not enough data
86,alpha-tocopherol (µg/dL),0.38377200697360814,36953,83,
87,CD4 counts (cells/mm3),0.38309455851664875,157,29,Too few unique ages; Not enough data
88,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin Lipid Adj (pg/g)",0.38252442726620894,4943,74,Not enough data
89,PCB146 Lipid Adj (ng/g),0.3824804727205636,6116,74,Not enough data
90,PCB206 Lipid Adj (ng/g),0.38194743840741496,4075,74,Not enough data
91,Estimated Glomerular Filtration Rate race-adjusted (mL/min/1.73 m2),0.3781017219933376,82687,79,
92,PCB195 Lipid Adj (ng/g),0.3732202051790433,4050,74,Not enough data
93,Heptachlor Epoxide (ng/g),0.3716846173497873,5811,74,Not enough data
94,Biacromial breadth (cm)(3 years and over),0.3715080221875203,25384,88,
95,Body Mass Index (kg/m**2),0.36689658150926296,115629,89,
96,"1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin (fg/g)",0.36551144646551514,4988,74,Not enough data
97,PCB99 Lipid Adj (ng/g),0.36317138691367146,6055,74,Not enough data
98,"p,p'-DDE Lipid Adj (ng/g)",0.3603434854085622,6218,74,Not enough data
99,PCB178 (ng/g),0.3557486059217897,6118,74,Not enough data
100,N-telopeptides (NTx) (nmol BCE),0.35491208023318555,11675,78,
101,Branched iso of PFOS (ng/mL),0.3461971227580305,6401,78,Not enough data
102,"4-hydroxy-4-(3-pyridyl) butanoic acid, urine (ng/mL)",0.34494513104001834,548,77,Not enough data
103,Standing Height (cm),0.3438108449936693,116174,89,
104,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin (fg/g)",0.3417112842076757,3100,74,Not enough data
105,Standing Height Comment,0.3413444529449474,2140,84,Not enough data
106,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Flow Rate 25-75%, (mL/s)",0.33905137651498074,1564,74,Not enough data
107,Blood cadmium (ug/L),0.337821998951472,76389,85,
108,Dieldrin Lipid Adj (ng/g),0.33458370577478624,4111,74,Not enough data
109,Subscapular Skinfold (mm),0.3335089685510302,74059,90,
110,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin (fg/g)",0.33128761874968216,5029,74,Not enough data
111,Bone alkaline phosphotase (ug/L),0.3234291196677631,18841,78,
112,Predicted maximal oxygen uptake (ml/kg/min),0.32050482865146546,9887,38,Too few unique ages
113,"1-(3-Pyridyl)-1-butanol-4-carboxylic acid, urine (ng/mL)",0.31999396286314374,553,76,Not enough data
114,Average Sagittal Abdominal Diameter (cm),0.3191041010245047,20996,73,
115,Sagittal Abdominal Diameter 1st (cm),0.3187774733360137,20996,73,
116,Sagittal Abdominal Diameter 2nd (cm),0.3184082338484804,20996,73,
117,PCB177 (ng/g),0.31650854183918,6042,74,Not enough data
118,Max mid-expiratory flow(ml/sec best crv),0.31213562630963587,20654,83,
119,PCB172 (ng/g),0.30858113531226916,5978,74,Not enough data
120,"1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin Lipid Adj (pg/g)",0.3042239174237181,4988,74,Not enough data
121,"1,2,3,6,7,8-Hexachlorodibenzofuran (fg/g)",0.3040930010633067,5002,74,Not enough data
122,PCB105 (ng/g),0.2990826167659386,6101,74,Not enough data
123,BIA reactance (ohms) (12 years and over),0.29303199046971284,17816,79,
124,Serum ferritin:  SI (ug/L),0.2923819652181481,63796,90,
125,Serum ferritin (ng/mL),0.2923819652181481,63796,90,
126,Vitamin A (ug/dL),0.2875668596295645,60499,88,
127,Blood Pressure Time in Seconds,0.28756104025254303,72894,85,
128,Heptachlor Epoxide Lipid Adj (ng/g),0.28604155627598304,5811,74,Not enough data
129,PCB195 (ng/g),0.28493191945830154,4050,74,Not enough data
130,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin Lipid Adj (pg/g)",0.2837917103390757,3100,74,Not enough data
131,PCB167 (ng/g),0.28165899241001324,6070,74,Not enough data
132,"1,2,3,4,7,8-Hexachlorodibenzofuran Lipid Adj (pg/g)",0.2769922288180915,4979,74,Not enough data
133,Suprailiac skinfold (mm) (2+ years),0.27113693204443534,25542,89,
134,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin Lipid Adj (pg/g)",0.2681115692600977,5029,74,Not enough data
135,Glycohemoglobin (%),0.2666784303238663,88428,87,
136,Estimated extracellular fluid volume (L),0.2644037557010628,12746,42,Too few unique ages
137,LBXTC2_y,0.2588702967966152,2362,87,Not enough data
138,Estimated total water body volume (L),0.25716837231328116,12746,42,Too few unique ages
139,Mean cell volume (fL),0.2564220127275556,109362,90,
140,PCB157 (ng/g),0.255522104147903,6049,74,Not enough data
141,Estimated fat-free mass (kg),0.255037470258916,12746,42,Too few unique ages
142,Urinary cadmium (ng/mL),0.2546004778499973,48926,88,
143,Serum tetanus antibody (U/mL),0.25365908070793164,19584,87,
144,PCB183 Lipid Adj (ng/g),0.2532190278274208,6120,74,Not enough data
145,"Nicotine-1 N-oxide, urine (ng/mL)",0.2513312453192501,1716,78,Not enough data
146,PCB172 Lipid Adj (ng/g),0.2506965440492259,5978,74,Not enough data
147,Linear perfluorooctane sulfonate (ng/mL),0.25030755742396904,6401,78,Not enough data
148,"Anatabine, urine (ng/mL)",0.24987767679244588,1716,78,Not enough data
149,Comment code for an exam,0.24739945232274108,133,62,Not enough data
150,"Cotinine-n-oxide, urine (ng/mL)",0.2454843986994294,1716,78,Not enough data
151,"Nornicotine, urine (ng/mL)",0.245411725172774,1715,78,Not enough data
152,Estimated intracellular fluid volume (L),0.2450135935046832,12746,42,Too few unique ages
153,"Nicotine, urine (ng/mL)",0.24391969075651299,1716,78,Not enough data
154,Characteristic frequency of the equivalent circuit (KHz),0.24365046193503015,12971,42,Too few unique ages
155,Serum Blood Urea Nitrogen: SI (mmol/L),0.24246148076853424,82771,79,
156,"Anabasine, urine (ng/mL)",0.24111040311353782,1716,78,Not enough data
157,Serum blood urea nitrogen (mg/dL),0.2391647028645818,82771,79,
158,Relative Florescent Value,0.23858680505784124,255,38,Too few unique ages; Not enough data
159,Plasma glucose: SI (mmol/L),0.23610426533004147,25545,79,
160,Excluded from exam due to selected lung/breathing conditions/symptoms,0.23380484731710882,2626,38,Too few unique ages; Not enough data
161,PCB157 Lipid Adj (ng/g),0.23213784673289695,6049,74,Not enough data
162,PCB178 Lipid Adj (ng/g),0.2315313628141651,6118,74,Not enough data
163,Capacitance (nF) of the cell membrane from Cole modeling,0.22564331474982935,12971,42,Too few unique ages
164,Urinary Perfluorononanoic acid (ng/mL),0.22552327937635763,2737,78,Not enough data
165,Urinary Perfluorohexane sulfonic acid (ng/mL),0.22551069067100316,2737,78,Not enough data
166,PCB177 Lipid Adj (ng/g),0.2227634762254329,6042,74,Not enough data
167,"p,p'-DDT (ng/g)",0.22010810724155971,5949,74,Not enough data
168,PCB167 Lipid Adj (ng/g),0.21860085699687015,6070,74,Not enough data
169,Plasma fasting glucose (mg/dL),0.21704848366125584,47237,79,
170,Stage 2 heart rate (per minute),0.2105443894891691,8426,38,Too few unique ages; Not enough data
171,Cyanuric acid (ng/mL),0.20784680800903654,444,76,Not enough data
172,Measurements used for average K5 (age5+),0.20707297403575853,1783,85,Not enough data
173,"1,2,3,6,7,8-Hexachlorodibenzofuran Lipid Adj (pg/g)",0.2063091947856016,5002,74,Not enough data
174,PCB189 Lipid Adj (ng/g),0.2053846104545436,4115,74,Not enough data
175,"Bronchodilator 2nd Test Spirometry, Forced Vital Capacity (mL)",0.20293509602469195,1564,74,Not enough data
176,"Expiratory time trial, largest FVC (sec)",0.20275418836205072,20864,83,
177,PCB105 Lipid Adj (ng/g),0.20225704566979896,6101,74,Not enough data
178,Thigh Circumference (cm),0.20205903506432732,55704,89,
179,High-Sensitivity C-Reactive Protein (hs-CRP) (mg/L),0.20181986282995856,15117,80,
180,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (fg/g)",0.19848186521159683,4977,74,Not enough data
181,Linear perfluorooctanoate (ng/mL),0.1939700876900714,6401,78,Not enough data
182,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 6.0 seconds (mL)",0.19324447935924138,1564,74,Not enough data
183,Two hour oral glucose tolerance (OGTT) (mg/dL),0.1900383922173362,13842,74,
184,"K4, diastolic, for 3rd BP(mmHg)(age5-19)",0.1881869114275968,5720,15,Too few unique ages; Not enough data
185,Mean cell hemoglobin (pg),0.18774784088972984,109361,90,
186,Melamine (ng/mL),0.18720374741231371,484,77,Not enough data
187,Mirex (ng/g),0.1846311199356898,6061,74,Not enough data
188,"2,3,7,8-Tetrachlorodienzo-p-dioxin (fg/g)",0.18368923652082547,5002,74,Not enough data
189,"K4,diastolic, for 2nd BP, age 5-19 (mmHg)",0.18137194469571727,5787,15,Too few unique ages; Not enough data
190,"p,p'-DDT Lipid Adj (ng/g)",0.17960740262357977,5949,74,Not enough data
191,4Yr AM(3-11) & fasting (12+) weights,0.17743067634242693,8379,83,Not enough data
192,Lymphocytes (percent of 100 cells),0.17701196906937666,8524,90,Not enough data
193,Serum glucose (mg/dL),0.17414856726272565,82765,79,
194,Mono-2-ethyl-5-carboxypentyl terephthalate (ug/L),0.17368801535380873,5155,78,Not enough data
195,Granulocyte percent (Coulter),0.17251177657176087,26032,90,
196,Reactance (Ohms) @ 220 KHz,0.17194974138099017,13276,42,Too few unique ages
197,Reactance (Ohms) @ 200 KHz,0.1713443504174833,13276,42,Too few unique ages
198,Estimated fat mass (kg),0.17123167514149396,12746,42,Too few unique ages
199,Reactance (Ohms) @ 245 KHz,0.17100956584436766,13276,42,Too few unique ages
200,"2,2',4-tribromodiphenyl ether lipid adj (ng/g)",0.1703288025175359,1992,74,Not enough data
201,Reactance (Ohms) @ 273 KHz,0.16954492839444013,13276,42,Too few unique ages
202,Resistance (Ohms) @ 35 KHz,0.169503924975261,13276,42,Too few unique ages
203,Resistance (Ohms) @ 39 KHz,0.16937405988673127,13276,42,Too few unique ages
204,Resistance (Ohms) @ 67 KHz,0.16918006277206477,13276,42,Too few unique ages
205,Resistance (Ohms) @ 50 KHz,0.16894742456176182,13276,42,Too few unique ages
206,"K4, diastolic, for 1st BP(mmHg)(age5-19)",0.1687565515061914,5418,15,Too few unique ages; Not enough data
207,Reactance (Ohms) @ 177 KHz,0.16869596728154634,13276,42,Too few unique ages
208,Resistance (Ohms) @ 43 KHz,0.16815789261833114,13276,42,Too few unique ages
209,Resistance (Ohms) @ 60 KHz,0.16813253970243724,13276,42,Too few unique ages
210,Resistance (Ohms) @ 54 KHz,0.16790037479049424,13276,42,Too few unique ages
211,Reactance (Ohms) @ 159 KHz,0.1678124384423093,13276,42,Too few unique ages
212,Stage 1 heart rate (per minute),0.16746256195260578,9166,38,Too few unique ages
213,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 3.0 seconds (mL)",0.16710522096796987,1564,74,Not enough data
214,Reactance (Ohms) @ 143 KHz,0.16710464351811027,13276,42,Too few unique ages
215,Lymphocyte percent (Coulter) (%),0.16697570117226435,109182,90,
216,Resistance (Ohms) @ 75 KHz,0.1668174063165292,13276,42,Too few unique ages
217,Resistance (Ohms) @ 93 KHz,0.16660195315619553,13276,42,Too few unique ages
218,Resistance (Ohms) @ 25 KHz,0.16651672433090225,13276,42,Too few unique ages
219,Reactance (Ohms) @ 304 KHz,0.16641090057511532,13276,42,Too few unique ages
220,Resistance (Ohms) @ 31 KHz,0.16640557034848358,13276,42,Too few unique ages
221,Resistance (Ohms) @ 83 KHz,0.16611723418944546,13276,42,Too few unique ages
222,Resistance (Ohms) @ 100 KHz,0.16572869436873905,13276,42,Too few unique ages
223,Resistance (Ohms) @ 28 KHz,0.165416189098042,13276,42,Too few unique ages
224,Resistance (Ohms) @ 115 KHz,0.1650268780596279,13276,42,Too few unique ages
225,Endrin Lipid Adj (ng/g),0.1649530931913724,4012,74,Not enough data
226,Resistance (Ohms) @ 23 KHz,0.16489842523150744,13276,42,Too few unique ages
227,Aldrin Lipid Adj (ng/g),0.16454157778641532,4221,74,Not enough data
228,Resistance (Ohms) @ 20 KHz,0.1644634082215003,13276,42,Too few unique ages
229,Reactance (Ohms) @ 339 KHz,0.16410759067525316,13276,42,Too few unique ages
230,Resistance (Ohms) @ 128 KHz,0.16393268492242108,13276,42,Too few unique ages
231,Serum C-reactive protein (mg/dL),0.16389031041308222,69983,90,
232,Lymphocyte number (Coulter) (1000 cells/uL),0.16270706612191188,109179,90,
233,Resistance (Ohms) @ 18 KHz,0.16263580653879717,13276,42,Too few unique ages
234,Resistance (Ohms) @ 143 KHz,0.16256373125500378,13276,42,Too few unique ages
235,Cuff size (cm),0.16226984946408574,97108,86,
236,Resistance (Ohms) @ 159 KHz,0.16202795984922003,13276,42,Too few unique ages
237,Resistance (Ohms) @ 15 KHz,0.16151575653364625,13276,42,Too few unique ages
238,Resistance (Ohms) @ 177 KHz,0.16137883345920268,13276,42,Too few unique ages
239,Reactance (Ohms) @ 378 KHz,0.16130007946720526,13276,42,Too few unique ages
240,Resistance (Ohms) @ 16 KHz,0.16126199040420575,13276,42,Too few unique ages
241,Resistance (Ohms) @ 200 KHz,0.16119535393372708,13276,42,Too few unique ages
242,Resistance (Ohms) @ 11 KHz,0.16100579648660862,13276,42,Too few unique ages
243,"2,2',3,4,4'-pentabromodiphenyl ether lipid adj (ng/g)",0.16094894442105212,2000,74,Not enough data
244,Resistance (Ohms) @ 12 KHz,0.16065763675489875,13276,42,Too few unique ages
245,Platelet count,0.16064258304170975,26426,90,
246,"Bis(1,3-dichloro-2-propyl) phosphate (ug/L)",0.1604707306949158,6774,78,Not enough data
247,Resistance (Ohms) @ 220 KHz,0.16006985824279063,13276,42,Too few unique ages
248,Reactance (Ohms) @ 128 KHz,0.15972280813115936,13276,42,Too few unique ages
249,Resistance (Ohms) @ 14 KHz,0.15971782841490856,13276,42,Too few unique ages
250,Resistance (Ohms) @ 10 KHz,0.15957117338439242,13276,42,Too few unique ages
251,Resistance (Ohms) @ 13 KHz,0.15943243066765111,13276,42,Too few unique ages
252,Resistance (Ohms) @ 273 KHz,0.15898119904614738,13276,42,Too few unique ages
253,"Bronchodilator 2nd Test Spirometry, Peak Expiratory Flow Rate (mL/s)",0.15862868138382746,1564,74,Not enough data
254,Resistance (Ohms) @ 245 KHz,0.15852590381290288,13276,42,Too few unique ages
255,Resistance (Ohms) @ 304 KHz,0.15807355746014962,13276,42,Too few unique ages
256,Resistance (Ohms) @ 378 KHz,0.15786132783503437,13276,42,Too few unique ages
257,Resistance (Ohms) @ 9 KHz,0.15708494652724858,13276,42,Too few unique ages
258,Resistance (Ohms) @ 339 KHz,0.1563434511283298,13276,42,Too few unique ages
259,PCB151 Lipid Adj (ng/g),0.15623160453328933,4177,74,Not enough data
260,Resistance (Ohms) @ 421 KHz,0.15613859401516195,13276,42,Too few unique ages
261,Resistance (Ohms) @ 8 KHz,0.15587135282451536,13276,42,Too few unique ages
262,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 0.5 seconds (mL)",0.15522961135425695,1564,74,Not enough data
263,Reactance (Ohms) @ 115 KHz,0.15517647242241084,13276,42,Too few unique ages
264,Resistance (Ohms) @ 469 KHz,0.1548457539552186,13276,42,Too few unique ages
265,Serum creatinine (mg/dL),0.15477660036570617,82774,79,
266,Resistance (Ohms) @ 7 KHz,0.15461951817729191,13276,42,Too few unique ages
267,Reactance (Ohms) @ 421 KHz,0.1542861792724336,13276,42,Too few unique ages
268,2Yr AM(3-11) & fasting (12+) weights,0.1538264422417459,12413,83,
269,Resistance (Ohms) @ 6 KHz,0.15266701703158225,13276,42,Too few unique ages
270,Reactance (Ohms) @ 469 KHz,0.1520238537173889,13276,42,Too few unique ages
271,Resistance (Ohms) @ 500 KHz,0.1518641569505157,13276,42,Too few unique ages
272,Resistance (Ohms) @ 5 KHz,0.15170683586189737,13276,42,Too few unique ages
273,Resistance (Ohms) @ 649 KHz,0.15128694130891862,13276,42,Too few unique ages
274,Resistance (Ohms) @ 582 KHz,0.15100993055454381,13276,42,Too few unique ages
275,Segmented neutrophils percent (%),0.15087050635585064,91272,90,
276,"o,p'-DDT Lipid Adj (ng/g)",0.14965951996875215,5894,74,Not enough data
277,Diastolic: Blood pressure (first reading) mm Hg,0.14963650373364845,91725,86,
278,Resistance (Ohms) @ 723 KHz,0.14828054064800267,13276,42,Too few unique ages
279,4(tert-butyl)phenyl)phenyl phosphate (ug/L),0.1482574584734927,2427,78,Not enough data
280,Serum transferrin receptor (mg/L),0.14807309487110054,21026,74,
281,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 0.75 seconds (mL)",0.14804732941464904,1564,74,Not enough data
282,Reactance (Ohms) @ 500 KHz,0.14771881061241654,13276,42,Too few unique ages
283,Resistance (Ohms) @ 898 KHz,0.14768485773706908,13276,42,Too few unique ages
284,Reactance (Ohms) @ 100 KHz,0.14699195951968824,13276,42,Too few unique ages
285,Resistance (Ohms) @ 806 KHz,0.1467481560017314,13276,42,Too few unique ages
286,Methylmercury (ug/L),0.14544295869860946,25434,80,
287,Methylmalonic Acid (nmol/L),0.1449923643326545,10324,62,
288,Resistance (Ohms) @ 1 MHz,0.14473988535917492,13276,42,Too few unique ages
289,N-Acetyl-S-(2-hydroxy-3-methyl-3-butenyl)-L-cysteine + N-Acetyl-S-(2-hydroxy-2-methyl-3-butenyl)-L-cysteine (ng/mL),0.14450435745641788,3015,78,Not enough data
290,Resistance (ohms) of extracellular fluid (ECF) from Cole modeling,0.14247706076064237,12971,42,Too few unique ages
291,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 1.0 second (mL)",0.14229644900443283,1564,74,Not enough data
292,Reactance (Ohms) @ 93 KHz,0.1410538308207725,13276,42,Too few unique ages
293,"Total length of 'food fast', hours",0.1402956341934971,82148,90,
294,"Blood mercury, total (ug/L)",0.1398757811213006,64689,85,
295,Waist to hip ratio,0.13887371798370518,26263,89,
296,Reactance (Ohms) @ 582 KHz,0.13886283725743986,13276,42,Too few unique ages
297,Resistance (ohms) of intracellular fluid (ICF) from Cole modeling,0.13789678669546446,12971,42,Too few unique ages
298,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin Lipid Adj (pg/g)",0.13636057923477907,4977,74,Not enough data
299,Diastolic: Blood pressure (second reading) mm Hg,0.13619953628722525,91072,86,
300,Reactance (Ohms) @ 649 KHz,0.13522306218131552,13276,42,Too few unique ages
301,Platelet count: SI (1000 cells/uL),0.13272749429704145,109352,90,
302,"2,3',4,4'-tetrabromodiphenyl lipid adj (ng/g)",0.13235499152191676,1999,74,Not enough data
303,"2,2',4,4',5-pentabromodiphenyl ether lipid adj (ng/g)",0.1317484840462979,1985,74,Not enough data
304,PCB128 Lipid Adj (ng/g),0.1313408009449024,6102,74,Not enough data
305,Reactance (Ohms) @ 83 KHz,0.13112531683237993,13276,42,Too few unique ages
306,Estradiol (pg/mL),0.13109468016504544,14419,75,
307,Hemoglobin:  SI (g/L),0.13108582574316419,26435,90,
308,PCB87 Lipid Adj (ng/g),0.1304009494411541,4190,74,Not enough data
309,Serum osmolality:  SI (mmol/Kg),0.13029488456585392,78078,79,
310,PCB149 Lipid Adj (ng/g),0.1299562441175275,4180,74,Not enough data
311,Serum apolipoprotein B (mg/dL),0.1296782912287877,29942,87,
312,Serum apolipoprotein B: SI (g/L),0.1296782912287877,29942,87,
313,Reactance (Ohms) @ 723 KHz,0.12944478024983497,13276,42,Too few unique ages
314,4-pyridoxic acid (nmol/L),0.12841026838321457,24915,85,
315,Mirex Lipid Adj (ng/g),0.12686491162844094,6061,74,Not enough data
316,"2,2',3,4,4',5',6-heptabromodiphenyl ether lipid adj (ng/g)",0.12640956981757445,1993,74,Not enough data
317,MHNCH (ng/mL),0.1258622475636788,10911,78,
318,Recovery 1 heart rate (per minute),0.12563004127605693,8711,38,Too few unique ages; Not enough data
319,PCB110 Lipid Adj (ng/g),0.1247499394851379,4180,74,Not enough data
320,Helicobacter pylori (ISR),0.12462054805885114,7493,83,Not enough data
321,Reactance (Ohms) @ 806 KHz,0.124374345927729,13276,42,Too few unique ages
322,Gamma-hexachlorocyclohexane Lipid Adj (ng/g),0.12381519075168224,6039,74,Not enough data
323,{Have you/Has SP} ever had open chest or abdominal surgery?,0.12364557214549743,21613,74,
324,Triceps Skinfold (mm),0.1229837714768196,79204,90,
325,"FEV1 at 1.0 seconds, largest value (ml)",0.12262304626196674,20910,83,
326,"2,2',4,4',6-pentabromodiphenyl lipid adj (ng/g)",0.1213836168851915,2040,74,Not enough data
327,Self reported weight (lbs) (12-16 years),0.1211691195827227,1677,5,Too few unique ages; Not enough data
328,Reactance (Ohms) @ 75 KHz,0.1206267386745713,13276,42,Too few unique ages
