,Feature,R-squared,Non-Null Values,Note
137,"Baseline 1st Test Spirometry, Peak Expiratory Flow Rate, in mL/s.",0.029800412708666624,20050,
138,Serum hepatitis B core antibody,0.029284583668729103,95049,
139,Serum C-reactive protein (mg/dL),0.028652992631294838,69983,
140,Serum bicarbonate:  SI (mmol/L),0.02862046298891152,82685,
141,Perfluorooctane sulfonic acid (ng/mL),0.028058719612873984,18308,
142,Best test FEV1/FVC ratio below Lower Limit of Normal and/or less than 70%,0.02654946465670127,20312,
143,25-hydroxyvitamin D2 (nmol/L),0.0259730626610426,47287,
144,total Lycopene (ug/dL),0.025649263023555302,44155,
145,Blood manganese (ug/L),0.024848134957922152,25635,
146,Serum apolipoprotein AI (mg/dL),0.024821439600211326,11482,
147,Serum apolipoprotein AI: SI (g/L),0.024821439600211104,11482,
148,Serum Toxoplasmosis IgG antibodies (IU/ml),0.02403601621576823,30332,
149,"Baseline 1st Test Spirometry, Number of Acceptable Curves Performed (ATS Criteria)",0.023421058345247214,41299,
150,"Hydroxycotinine, Serum (ng/mL)",0.023272197532744232,22796,
151,High-Sensitivity C-Reactive Protein (hs-CRP) (mg/L),0.02306339589407036,15117,
152,"Peak expiratory flow, largest value (ml)",0.02247920651582669,20908,
153,{Is SP/Are you} now taking insulin,0.022405466160478338,27722,
154,Total Calcium (mg/dL),0.021700019061137943,82729,
155,Serum hepatitis A antibody (Anti-HAV),0.021665246774064673,100377,
156,Serum total protein (g/dL),0.02118653913159574,82707,
157,Serum total protein:  SI (g/L),0.021125991762594776,82715,
158,Urinary nitrate (ng/mL),0.02007499868876561,28933,
159,Serum transferrin saturation (%),0.020073643873744662,54344,
160,Serum cotinine (ng/mL),0.019688612275001627,99696,
161,Incomplete OGTT Comment Code,0.019047485217111748,14915,
162,"Thallium, urine (ng/mL)",0.01901340393894857,26712,
163,Serum alpha carotene (ug/dL),0.017824726686955228,52508,
164,4-pyridoxic acid (nmol/L),0.017691615683806172,24915,
165,Granulocyte number (Coulter),0.017309067418794455,26032,
166,"FVC, largest value (ml)",0.017027319995035373,20910,
167,Segmented neutrophils number (1000 cell/uL),0.016876726832165123,82745,
168,2Yr AM(3-11) & fasting (12+) weights,0.015616369242268502,12413,
169,Time from fasting glucose & OGTT (min),0.015553710094960871,11549,
170,Retinyl stearate (ug/dL),0.015493534086290617,32582,
171,Blood lead (ug/dL),0.015201104548927646,102620,
172,Gamma Glutamyl Transferase (GGT): SI (IU/L),0.015113887190331354,78569,
173,Spirometry First Test Status (Baseline Spirometry),0.014933207550248073,23433,
174,Glycideamide (pmol/g Hb),0.014090695368893513,19603,
175,Urinary creatinine (mg/dL),0.013761348805295559,101699,
176,"Blood 1,2-Dichloropropane (ng/mL)",0.013673972719693173,13319,
177,"Baseline 1st Test Spirometry, Forced Vital Capacity, in mL.",0.012914751516500567,20050,
178,Body Measures Component status Code,0.012598422236160811,73670,
179,"Blood 1,2-Dichlorobenzene (ng/mL)",0.012512666219482549,21977,
180,Potassium (mmol/L),0.012374342420842344,82765,
181,Perfluorodecanoic acid (ng/mL),0.01173278623977192,18812,
182,Serum transferrin receptor (mg/L),0.011615128604351765,21026,
183,Serum lactate dehydrogenase: SI (U/L),0.01135242216324095,82530,
184,Perfluorononanoic acid (ng/mL),0.011285875151919034,18812,
185,N-acetyl-S-(2-Carboxyethyl)-L-cysteine (ng/mL),0.011255497503679934,11259,
186,Serum normalized calcium:  SI (mmol/L),0.011168483762747816,16866,
187,N-acetyl-s-(3-hydroxypropyl-1-methyl)-L-cysteine (ng/mL),0.010218317674080324,11243,
188,"Tungsten, urine (ng/mL)",0.009787094738879731,26621,
189,BIA resistance (ohms)(12 years and over),0.009555896649112494,17830,
190,Glucose challenge Administer Time in minutes,0.00952243504733341,11766,
191,Mononuclear number (Coulter),0.00936960821985433,26031,
192,Perfluoroundecanoic acid (ng/mL),0.008909445530966065,18812,
193,Vitamin C (mg/dL),0.008644703853430191,42067,
194,"Blood 1,3-Dichlorobenzene (ng/mL)",0.008493203038301145,22085,
195,Serum chloride (mmol/L),0.008465737632223136,82767,
196,Perfluorooctanoic acid (ng/mL),0.007731202301046292,18308,
197,"Baseline 1st Test Spirometry, Effort Quality Attribute",0.0072986546333920765,20265,
198,Time from fast glucose & challenge (min),0.007144034995963389,11766,
199,Creatine Phosphokinase (IU/L),0.007137955908372295,24657,
200,Time from glucose challenge & OGTT (min),0.007004467785781454,11549,
201,"N-acetyl-S-(2,2-Dichlorovinyl)-L-cysteine (ng/mL)",0.006715036427757282,11017,
202,Blood Nitrobenzene (ng/mL),0.006322595972790168,21947,
203,"3,5,6-trichloropyridinol (ug/L)",0.006144475353794032,12979,
204,25-hydroxyvitamin D3 (nmol/L),0.005785127118543842,47287,
205,{Do you/Does SP} currently have a breathing problem that requires {you/him/her} to use supplemental oxygen during the day? [This is air stored in a tank that you use to help you breathe. Do not include night treatments for sleep apnea.],0.005653052704043149,22232,
206,Serum thyroxine (T4): SI (nmol/L),0.005541483493159527,22191,
207,"Baseline 1st Test Spirometry, Extrapolated Volume, in mL.",0.00534303893715582,20047,
208,N-Acetyl-S-(4-hydroxy-2-butenyl)-L-Cysteine (ng/mL),0.0049946386207838644,11170,
209,Sodium (mmol/L),0.00499221506470271,82774,
210,Eosinophils number (1000 cells/uL),0.004922931853675094,82745,
211,Serum insulin: SI (pmol/L),0.004854328296321819,46497,
212,Serum insulin (uU/mL),0.004854248285610874,46497,
213,Spirometer internal temperature (Celsius),0.00464976843308984,20891,
214,Retinyl palmitate (ug/dL),0.004576560257081197,34443,
215,"Thyroxine, free (pmol/L)",0.0044636861672811,10600,
216,Ethylmercury (ug/L),0.004428841467808864,25432,
217,Red blood cell count: SI (million cells/uL),0.0044077603574211865,109362,
218,Vitamin D (nmol/L),0.004386063163037579,90568,
219,Vitamin B6 (nmol/L),0.004248664169109295,32735,
220,Blood Pressure Comment,0.004149316368350586,21754,
221,N-acetyl-S-(2-cyanoethyl)-L-cysteine (ng/mL),0.004084819703010667,11226,
222,Serum antimicrosomal antibody (U/mL),0.004041075392428928,18148,
223,Toxoplasmosis IgM antibodies,0.004020225243911879,12399,
224,"Beryllium, urine (ng/mL)",0.003822734047049803,15764,
225,Mono-benzyl phthalate (ng/mL),0.0038137916443592434,26740,
226,Eosinophils percent (%),0.0037435295161470927,91272,
227,Mean cell hemoglobin concentration (g/dL),0.0036977843742083127,109389,
228,Serum thyroid stimulating hormone (TSH) (uIU/mL),0.003642398853547113,28748,
229,Serum thyroid stimulating hormone (TSH): SI (mIU/L),0.003642398853547113,28748,
230,"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (ug/L)",0.003550643194364933,10075,
231,Mononuclear percent (Coulter),0.0034233375347290096,26031,
232,2-fluorene (ng/L),0.003391684333860945,21205,
233,Serum beta cryptoxanthin (ug/dL),0.0033519744258001527,52621,
234,Serum anti-thyroglobulin antibody (U/mL),0.0031791986974879505,28682,
235,Urinary total Arsenic (ug/L),0.003147906388443422,18825,
236,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 6.0 seconds, in mL.",0.0031419694262487807,20050,
237,Urinary Arsenobetaine (ug/L),0.003098577922703849,21697,
238,N-Acetyl-S-(phenyl)-L-cysteine (ng/mL),0.0030678447329199887,11211,
239,White blood cell count: SI (1000 cells/uL),0.0030280733544344463,109361,
240,"Serum Iron, Frozen: SI (umol/L)",0.0029926406876277234,55144,
241,"Serum iron, frozen (ug/dL)",0.0029850294894648854,55144,
242,Arm selected:,0.0029786809095719846,73855,
243,"Lead, urine (ng/mL)",0.002911558236672107,26398,
244,Serum globulin (g/dL),0.002861698955584191,78024,
245,Serum globulin:  SI (g/L),0.002861698955583969,78024,
246,N-acetyl-S-(3-Hydroxypropyl)-L-cysteine (ng/mL),0.0027980306555992485,11062,
247,Urinary albumin (ug/mL),0.0027875185578822848,101701,
248,Urinary albumin: SI (mg/L),0.0027490801613736515,79438,
249,Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),0.0027435367538996003,24199,
250,N-acetyl-S-(2-hydroxy-3-butenyl)-L-cysteine (ng/mL),0.0026603292828540903,11277,
251,N-acetyl-S-(2-carbamoylethyl)-L-cysteine (ng/mL),0.0025319979871180065,11161,
252,Mono-ethyl phthalate (ng/mL),0.00252851003839738,26735,
253,Mono-2-ethyl-5-carboxypentyl phthalate (ng/mL),0.002441505498747998,21417,
254,Oxypyrimidine (ug/L),0.0023955935532303796,15290,
255,1-pyrene (ng/L),0.0023711870532719947,21177,
256,Sum of metabolites of DEHP,0.002330782742182347,21417,
257,Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),0.0022824225696806977,24199,
258,"Barium, urine (ng/mL)",0.0022657948912041537,26516,
259,Blood Vinyl Bromide (ng/mL),0.0021770342288675026,9080,
260,SDDSRVYR_x,0.002167182386864752,121745,
261,SDDSRVYR_y,0.002167182386864752,121745,
262,Mono(carboxyoctyl) phthalate (ng/mL),0.002142142946398251,18812,
263,Blood aaa-Trifluorotoluene (ng/mL),0.00212871952860727,9147,
264,"Antimony, urine (ng/mL)",0.002109080196192159,26611,
265,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 1.0 second, in mL.",0.002065913418965226,20050,
266,N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),0.0020523273460593128,11236,
267,3-fluorene (ng/L),0.002025514792170724,21141,
268,Perfluoroheptanoic acid (ng/mL),0.0019425841403396538,14890,
269,"Mercury, Inorganic (ug/L)",0.0017417624151050415,63983,
270,Mono-(2-ethylhexyl) phthalate (ng/mL),0.001694113570307021,26740,
271,{Do you/Does SP} now have any pain or physical problem that may prevent {you/him/her} from taking a deep breath and exhaling forcefully?,0.0016768995799751885,22079,
272,"Perchlorate, urine (ng/mL)",0.001605536448064493,31455,
273,Was {your/SP's} heart attack in the last three months?,0.0015983991051667923,21363,
274,"Tin, urine (ug/L)",0.0015419989886777952,11036,
275,Selenium (ug/L),0.0015283322735015759,48400,
276,"Serum Thyroxine, total (T4) (ug/dL)",0.0015021888037696218,32745,
277,"Serum iron, refrigerated: SI (umol/L)",0.0014830248385496736,78040,
278,"Serum iron, refrigerated (ug/dL)",0.0014816537303885546,78040,
279,MHNCH (ng/mL),0.001464688382781243,10911,
280,N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),0.0013971502138437897,11286,
281,Erythrocyte Protoporphyrin (ug/dL RBC),0.0013722897342633988,49179,
282,Erythrocyte Protoporphyrin: SI (umol/L RBC),0.0013659315311471687,49179,
283,Basophils percent (%),0.0013555728910478182,91272,
284,Monocyte number (1000 cells/uL),0.0013436337773191642,82745,
285,N-acetyl-S-(dimethylphenyl)-L-cysteine (ng/mL),0.001331256946516035,11121,
286,"Blood 2,5-Dimethylfuran (ng/mL)",0.0012648600498169627,22414,
287,1-naphthol (ng/L),0.001252618251504467,21029,
288,9-fluorene (ng/L),0.0012204381721051538,12772,
289,Enterolactone (ng/mL),0.0011952020814330888,15680,
290,gamma-tocopherol (ug/dL),0.0011771792009989124,35964,
291,Estradiol (pg/mL),0.001159263026112245,14419,
292,Daidzein (ng/mL),0.0011331610522143931,15685,
293,"Blood 1,1,1,2-tetrachloroethane (ng/mL)",0.0010823340114706204,17915,
294,Enhancement used fourth reading,0.0010783356824811685,12714,
295,"Blood 1,2-dibromoethane (ng/mL)",0.0010191668577771429,17632,
296,Ethyl paraben (ng/mL),0.0010099754948162953,15727,
297,Mandelic acid (ng/mL),0.001003267563068455,11184,
298,Urinary Triclosan (ng/mL),0.000978551198692279,18244,
299,Blood furan (ng/mL),0.0009300263041572832,17674,
300,3-methylhippuric acid & 4-methylhippuric acid (ng/mL),0.0009197861278538166,11277,
301,Urinary Dimethylarsonic acid (ug/L),0.0008724121570603538,21698,
302,3-phenanthrene (ng/L),0.0008702679216714415,15453,
303,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 0.75 seconds, in mL.",0.0008596657668852314,20050,
304,Serum hepatitis C antibody (anti-HCV),0.0008380242514255398,86926,
305,Monocyte percent (%),0.0008266202070761342,91272,
306,Sum of arsenic metabolites (ug/L),0.0008248079911026274,21698,
307,"2,4,5-trichlorophenol (ug/L)",0.0008198386109874445,10426,
308,Enhancement used third reading,0.0007954185275140802,73333,
309,Serum hepatitis B surface antigen,0.0007936979853377935,62097,
310,"Blood 1,2-Dibromo-3-chloropropane (ng/mL)",0.0007928573293548569,10396,
311,Mono-isobutyl phthalate (ng/mL),0.0007906937908950251,24199,
312,Phenylglyoxylic acid (ng/mL),0.000790474981639866,11223,
313,Blood Benzene (ng/mL),0.00078568983153815,23137,
314,N-acetyl-S-(2-hydroxypropyl)-L-cysteine (ng/mL),0.0007825780338134303,11246,
315,Blood Pressure Status,0.0007292133034100257,74900,
316,1-phenanthrene (ng/L),0.0007216179108840981,21220,
317,"Blood 1,2-Dichloroethane (ng/mL)",0.0007215470730465023,22440,
318,Enterodiol (ng/mL),0.0007210617419407539,15659,
319,Aspartate aminotransferase AST: SI (U/L),0.00069213592109163,82643,
320,Serum total folate: SI (nmol/L),0.0006499478885713117,101539,
321,Serum total folate (ng/mL),0.0006489608642764599,101539,
322,Mono-isononyl phthalate (ng/mL),0.0006368301266358456,26740,
323,Enhancement used second reading,0.0006146327444856992,73401,
324,Serum lipoprotein(a) (mg/dL),0.0005957530972774405,12046,
325,Serum lipoprotein(a):  SI (g/L),0.0005957530972774405,12046,
326,Butyl paraben (ng/mL),0.0005951840997665547,15727,
327,Have you had any of the following in the past 30 minutes?: Coffee,0.0005674260188498481,52298,
328,Urinary Arsenocholine (ug/L),0.0005316108142597864,21698,
329,Diethylphosphate (ug/L),0.0005147281263641057,20890,
330,2-phenanthrene (ng/L),0.00045703272046260235,15469,
331,Red blood cell count,0.00045690164747425044,26434,
332,Was the open chest or abdominal surgery in the last three months?,0.0004400866119604885,24423,
333,"2,4,5-Trichlorophenoxyacetic acid (ug/L)",0.0004378595815855979,12612,
334,N-Acetyl-S-(n-propyl)-L-cysteine (ng/mL),0.00043719571698264126,11148,
335,"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (ug/L)",0.00043254498228584293,15229,
336,2-Methylhippuric acid (ng/mL),0.00041705210033970985,11020,
337,Urinary Bisphenol A (ng/mL),0.00040859571570051045,18244,
338,Perfluorohexane sulfonic acid (ng/mL),0.0003967903674306772,18812,
339,2-(N-ethyl-PFOSA) acetate (ng/mL),0.00037975994711791916,12432,
340,Propyl paraben (ng/mL),0.0003722220188645542,15727,
341,2-(N-methyl-PFOSA) acetate (ng/mL),0.0003486592530519417,18522,
342,Mono-cyclohexyl phthalate (ng/mL),0.0003294306649523904,15829,
343,Serum HDL cholesterol:  SI (mmol/L),0.0003175241357337155,98172,
344,Basophils number (1000 cells/uL),0.0003145245922314688,82745,
345,Serum HDL cholesterol (mg/dL),0.00031444769975186304,98163,
346,Mono(carboxynonyl) phthalate (ng/mL),0.0002959777390511009,18812,
347,"Platinum, urine (ng/mL)",0.00028461775328891825,15763,
348,"2,4,6-trichlorophenol (ug/L)",0.00026813924552115953,10426,
349,Blood MTBE (pg/mL),0.0002551211697200406,22730,
350,"Blood 1,4-Dioxane (ng/mL)",0.0002449693537712738,11342,
351,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 0.5 seconds, in mL.",0.00023926489099590498,20050,
352,Serum hepatitis D antibody (anti-HDV),0.00023867797460497275,60388,
353,"In the past month, {have you/has SP} coughed up blood?",0.0002304901051762842,21033,
354,Perfluorooctane sulfonamide (ng/mL),0.00020167463897491356,12432,
355,"Mercury, urine (ug/L)",0.00018827109245111995,25388,
356,Blood Toluene (ng/mL),0.00018000061164225034,16741,
357,Perfluorobutane sulfonic acid (ng/mL),0.00017928973057734776,13434,
358,Have you had any of the following in the past 30 minutes?: Food,0.00017487879659339178,52298,
359,Dimethyl dithiophosphate (ug/L),0.00017083638796466794,20864,
360,Pulse type,0.0001700372507160708,73988,
361,gender,0.0001506333123364456,121745,
362,Blood Dibromochloromethane (pg/mL),0.0001443831790722827,23533,
363,Acrylamide (pmoL/g Hb),0.0001428020149931708,19719,
364,3-phenoxybenzoic acid (ug/L),0.00014105675845232923,15266,
365,"Manganese, urine (ug/L)",0.0001402354005697326,11037,
366,Urinary Monomethylarsonic acid (ug/L),0.0001362993102821397,21697,
367,epi-25-hydroxyvitamin D3 (nmol/L),0.00013252264313967643,46856,
368,Blood Methylene Chloride (ng/mL),0.00013003991916271662,21058,
369,Mono-n-butyl phthalate (ng/mL),0.00012761771779423725,26740,
370,"Vitamin B12, serum (pg/mL)",0.00012387953078851766,54605,
371,Dimethyl phosphate (ug/L),0.00012147795430861308,20888,
372,2-naphthol (ng/L),0.0001175023617904225,21166,
373,"NNAL, urine (ng/mL)",0.00010437423105524868,30397,
374,"2,4-D (ug/L)",0.0001021814160323542,17738,
375,Have you had any of the following in the past 30 minutes?: Alcohol,0.00010170339573045695,52298,
376,"Iodine, urine (ng/mL)",0.00010040357730878302,51536,
377,"Baseline 1st Test Spirometry, Forced Vital Capacity Quality Attribute.",9.899259348378209e-05,20313,
378,Urinary Benzophenone-3 (ng/mL),9.810771489282555e-05,18244,
379,Genistein (ng/mL),9.33589231200127e-05,15689,
380,Did {you/SP} or anyone in {your/his/her} household have tuberculosis in the past year?,9.164547249318478e-05,21506,
381,Mono-n-octyl phthalate (ng/mL),9.008002367749679e-05,15829,
382,Have you had any of the following in the past 30 minutes?: Cigarettes,8.841629857014865e-05,52298,
383,Blood Chloroethane (ng/mL),8.36834335601333e-05,9018,
384,"Blood 1,4-Dichlorobenzene (ng/mL)",8.130521449800643e-05,22899,
385,"N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",8.088631180258599e-05,10965,
386,"N-acetyl-S-(1,2-dichlorovinyl)-L-cysteine (ng/mL)",8.012426229053737e-05,10996,
387,"Blood 1,1,1-Trichloroethane (ng/mL)",7.900234877700196e-05,22414,
388,"Blood 1,2,3-trichloropropane (ng/ml)",7.709307362091522e-05,17692,
389,Urinary Trimethylarsine Oxide (ug/L),7.657765584612175e-05,13125,
390,Mono-(3-carboxypropyl) phthalate (ng/mL),7.443843816490325e-05,24199,
391,Blood Carbon Tetrachloride (ng/mL),6.20259441026505e-05,23253,
392,Blood Bromoform (pg/mL),6.151109150587253e-05,23434,
393,Diethyl dithiophosphate (ug/L),5.128012837607443e-05,20705,
394,Urinary thiocyanate (ng/mL),5.0699949328381066e-05,28921,
395,Serum total bilirubin (mg/dL),4.8883659891085784e-05,82746,
396,Serum total bilirubin:  SI (umol/L),4.821302709379083e-05,82745,
